frase,situacao
"infarto agudo com dor esmagadora no peito",alto risco
"dor leve no ombro ao levantar o braço",baixo risco
"AVC com perda de fala e movimento",alto risco
"leve tontura ao levantar rápido da cama",baixo risco
"sepse com febre alta e confusão mental",alto risco
"pequeno corte superficial no joelho",baixo risco
"embolia pulmonar com falta de ar súbita",alto risco
"leve dor de ouvido após banho de piscina",baixo risco
"hemorragia interna com queda de pressão",alto risco
"caspa no couro cabeludo",baixo risco
"parada cardíaca com perda de consciência",alto risco
"leve dor no punho por uso excessivo do mouse",baixo risco
"meningite com febre alta e rigidez cervical",alto risco
"olheiras por noite mal dormida",baixo risco
"trombose venosa profunda com dor intensa na perna",alto risco
"leve sensibilidade nos dentes ao tomar sorvete",baixo risco
"pneumotórax com dor torácica aguda e dispneia",alto risco
"leve queimadura de sol nos ombros",baixo risco
"cetoacidose diabética com vômitos e confusão",alto risco
"leve coceira nos olhos por alergia",baixo risco
"ruptura de aneurisma cerebral com dor de cabeça explosiva",alto risco
"leve dor no cotovelo após jogar tênis",baixo risco
"insuficiência respiratória aguda necessitando ventilação",alto risco
"frieira entre os dedos do pé",baixo risco
"sangramento gastrointestinal com fezes escuras e tontura",alto risco
"leve incômodo estomacal por ansiedade",baixo risco
"crise hipertensiva com visão turva e dor no peito",alto risco
"leve dor de cabeça tensional no fim do dia",baixo risco
"politraumatismo após acidente de carro",alto risco
"pequena rachadura no lábio por tempo seco",baixo risco
"queimadura de terceiro grau em grande extensão do corpo",alto risco
"leve vermelhidão nos olhos por falta de sono",baixo risco
"obstrução das vias aéreas com cianose",alto risco
"leve dor no quadril ao sentar por muito tempo",baixo risco
"insuficiência cardíaca descompensada com edema generalizado",alto risco
"leve descamação da pele no nariz",baixo risco
"trauma craniano com perda de consciência prolongada",alto risco
"leve dor no pescoço por torcicolo",baixo risco
"reação alérgica grave com inchaço na garganta",alto risco
"espirros frequentes em ambiente empoeirado",baixo risco
"fratura exposta com sangramento intenso",alto risco
"leve dor no calcanhar ao pisar de manhã",baixo risco
"overdose medicamentosa com rebaixamento de consciência",alto risco
"leve ressecamento labial",baixo risco
"peritonite com dor abdominal difusa e febre",alto risco
"leve inchaço nos dedos por retenção de líquido",baixo risco
"tamponamento cardíaco com hipotensão severa",alto risco
"leve coceira na perna por pele seca",baixo risco
"eclâmpsia com convulsões na gestação",alto risco
"leve enjoo matinal durante a gravidez",baixo risco
"dissecção aórtica com dor torácica dilacerante",alto risco
"leve dor lombar ao carregar sacolas",baixo risco
"estado de mal epiléptico contínuo",alto risco
"leve formigamento na mão ao dormir de lado",baixo risco
"choque cardiogênico com extremidades frias e cianóticas",alto risco
"leve irritação na garganta por ar condicionado",baixo risco
"pneumonia grave com saturação de oxigênio abaixo de 90",alto risco
"leve tosse produtiva pela manhã",baixo risco
"lesão medular com perda de sensibilidade nas pernas",alto risco
"leve dor no dedo mindinho após batida na porta",baixo risco
"hemorragia pós-parto com choque hipovolêmico",alto risco
"leve cólica menstrual no primeiro dia",baixo risco
"fascite necrosante com febre e dor desproporcional",alto risco
"leve vermelhidão ao redor de picada de mosquito",baixo risco
"insuficiência renal aguda com anúria e confusão",alto risco
"leve dor ao urinar após segurar muito tempo",baixo risco
"taquicardia ventricular sustentada com síncope",alto risco
"leve sensação de ouvido tampado após voo",baixo risco
"acidente vascular cerebral hemorrágico com hemiplegia",alto risco
"leve dor no trapézio por estresse",baixo risco
"pancreatite aguda com dor epigástrica intensa",alto risco
"leve incômodo abdominal por constipação",baixo risco
"síndrome coronariana aguda com alteração no ECG",alto risco
"leve ardência ao fazer a barba",baixo risco
"encefalopatia hepática com confusão e icterícia",alto risco
"leve dor no tornozelo após torção leve",baixo risco
"pneumonia aspirativa com febre e dispneia severa",alto risco
"leve pigmentação na pele por exposição solar",baixo risco
"ruptura esplênica com dor abdominal e hipotensão",alto risco
"leve dor na mandíbula ao mastigar chiclete",baixo risco
"fibrilação ventricular com parada cardiorrespiratória",alto risco
"leve incômodo no estômago por café em jejum",baixo risco
"edema cerebral com vômitos em jato e cefaleia",alto risco
"leve dor no polegar por uso excessivo do celular",baixo risco
"insuficiência hepática fulminante com icterícia e sangramento",alto risco
"leve dor nas articulações em dia frio",baixo risco
"embolia gordurosa após fratura de fêmur",alto risco
"leve coceira no ouvido",baixo risco
"síndrome de Guillain-Barré com fraqueza muscular ascendente",alto risco
"leve dor no ombro ao dormir de lado",baixo risco
"crise tireotóxica com taquicardia e febre alta",alto risco
"leve inchaço nos pés após ficar muito tempo em pé",baixo risco
"abdômen agudo com defesa muscular involuntária",alto risco
"leve sensação de estômago cheio após almoço",baixo risco
"choque séptico com hipotensão refratária",alto risco
"leve dor no antebraço após carregar peso",baixo risco
"hemoptise maciça com instabilidade hemodinâmica",alto risco
"leve ressecamento da pele após banho quente",baixo risco
"síndrome compartimental com dor intensa e parestesia",alto risco
"leve vermelhidão na pele por depilação",baixo risco
"cetoacidose alcoólica com desidratação severa",alto risco
"leve dor de cabeça por exposição ao sol",baixo risco
"ruptura de gravidez ectópica com sangramento interno",alto risco
"leve cansaço após subir escadas",baixo risco
"status epilepticus refratário a medicação",alto risco
"leve dor no quadríceps após agachamento",baixo risco
"insuficiência adrenal aguda com hipotensão e confusão",alto risco
"leve irritação nos olhos por cloro da piscina",baixo risco
"tromboembolismo pulmonar maciço com choque",alto risco
"leve dor no pescoço por travesseiro inadequado",baixo risco
"síndrome de Stevens-Johnson com lesões cutâneas extensas",alto risco
"leve descamação nos lábios por tempo seco",baixo risco
"hemorragia subaracnóidea com cefaleia em trovoada",alto risco
"leve dor no tendão de Aquiles após corrida",baixo risco
"choque hemorrágico classe IV com taquicardia extrema",alto risco
"leve coceira nas costas por suor",baixo risco
"síndrome de lise tumoral com arritmia e insuficiência renal",alto risco
"leve dor no punho ao escrever por muito tempo",baixo risco
"pneumomediastino com dor torácica e enfisema subcutâneo",alto risco
"leve sensação de peso nas pernas no fim do dia",baixo risco
"crise de feocromocitoma com hipertensão maligna",alto risco
"leve dor no joelho ao agachar",baixo risco
"coagulação intravascular disseminada com sangramento difuso",alto risco
"leve ardência nos pés após caminhada longa",baixo risco
"obstrução intestinal com vômitos fecaloides e distensão",alto risco
"leve incômodo na coluna por sentar torto",baixo risco
"síndrome de Boerhaave com dor torácica após vômito",alto risco
"leve dor no ombro ao carregar mochila pesada",baixo risco
"hipertermia maligna com rigidez muscular e febre extrema",alto risco
"leve formigamento nos pés por ficar sentado muito tempo",baixo risco
"ruptura de varizes esofágicas com hematêmese volumosa",alto risco
"leve dor na panturrilha após exercício",baixo risco
"síndrome do desconforto respiratório agudo com hipoxemia grave",alto risco
"leve sensação de garganta seca por falar muito",baixo risco
"sinto uma dor forte no peito que aperta e irradia para o pescoço",alto risco
"tenho uma leve dor de cabeça que vai e volta",baixo risco
"minha pressão subiu muito e estou com visão embaçada",alto risco
"sinto um leve desconforto no estômago após o almoço",baixo risco
"estou com falta de ar intensa e não consigo deitar",alto risco
"tenho uma leve coceira no braço que apareceu hoje",baixo risco
"perdi a força no braço direito de repente e não consigo falar direito",alto risco
"sinto uma leve dor no joelho quando fico muito tempo sentado",baixo risco
"estou vomitando sangue escuro em grande quantidade",alto risco
"tenho um leve incômodo na garganta ao engolir",baixo risco
"meu coração está disparado e sinto que vou desmaiar",alto risco
"tenho uma leve dor nas costas quando levanto peso",baixo risco
"sinto dormência no rosto e dificuldade para engolir",alto risco
"meu nariz está um pouco entupido por causa do frio",baixo risco
"tive uma convulsão e ainda estou confuso",alto risco
"sinto uma leve queimação no estômago à noite",baixo risco
"estou com febre de 41 graus e tremendo muito",alto risco
"tenho uma pequena verruga no dedo que não dói",baixo risco
"sinto uma dor lancinante na cabeça que começou de repente",alto risco
"meus olhos estão um pouco vermelhos por causa do vento",baixo risco
"estou com dor no peito há duas horas e está piorando",alto risco
"sinto uma leve dor no cotovelo quando apoio na mesa",baixo risco
"não consigo mexer as pernas e perdi a sensibilidade",alto risco
"tenho uma pequena afta que incomoda ao comer",baixo risco
"estou com sangramento vaginal intenso e tontura",alto risco
"sinto uma leve cólica abdominal que vai e volta",baixo risco
"minha pele está ficando roxa e fria nas extremidades",alto risco
"tenho uma leve descamação no couro cabeludo",baixo risco
"sinto uma pressão muito forte na cabeça e estou confuso",alto risco
"meu dedo está um pouco inchado por causa de uma batida",baixo risco
"estou com dificuldade para respirar e chiado no peito intenso",alto risco
"sinto uma leve dor no calcanhar ao caminhar de manhã",baixo risco
"tive um desmaio e acordei sem saber onde estou",alto risco
"tenho uma leve irritação na pele por causa do suor",baixo risco
"estou com dor abdominal fortíssima e o abdômen está duro",alto risco
"sinto um leve desconforto no ouvido após o banho",baixo risco
"meu braço esquerdo está dormente e sinto dor no peito",alto risco
"tenho uma pequena bolha no lábio que coça um pouco",baixo risco
"estou com febre alta e manchas vermelhas pelo corpo todo",alto risco
"sinto uma leve dor no pescoço ao virar a cabeça",baixo risco
"não consigo parar de sangrar pelo nariz há mais de uma hora",alto risco
"tenho uma leve dor no ombro que aparece ao levantar o braço",baixo risco
"estou com dor no peito e suando frio sem motivo",alto risco
"sinto uma leve queimação nos olhos por causa da tela do computador",baixo risco
"minha respiração está muito rápida e superficial",alto risco
"tenho uma pequena rachadura no calcanhar que arde um pouco",baixo risco
"sinto que meu coração está falhando e tenho falta de ar",alto risco
"meu estômago está um pouco inchado após a refeição",baixo risco
"estou com dor de cabeça violenta e vomitando sem parar",alto risco
"sinto uma leve dor no pulso ao digitar",baixo risco
"perdi a visão de um olho de repente sem dor",alto risco
"tenho uma leve sensibilidade nos dentes ao beber água gelada",baixo risco
"estou com inchaço no rosto e dificuldade para respirar após comer camarão",alto risco
"sinto uma leve dor na lombar ao me abaixar",baixo risco
"minha perna está muito inchada vermelha e quente ao toque",alto risco
"tenho uma leve coceira no pé entre os dedos",baixo risco
"estou com dor no peito que piora ao respirar e febre alta",alto risco
"sinto um leve cansaço após uma noite mal dormida",baixo risco
"tive uma queda e bati a cabeça forte estou com muito sono",alto risco
"tenho uma pequena espinha nas costas que incomoda",baixo risco
"estou com dor intensa no flanco direito e febre com calafrios",alto risco
"sinto uma leve dor no dedão do pé ao caminhar",baixo risco
"minha frequência cardíaca está acima de 180 e estou tonto",alto risco
"tenho uma leve congestão nasal que melhora com soro",baixo risco
"estou com paralisia facial súbita e não consigo fechar o olho",alto risco
"sinto uma leve dor muscular após a academia",baixo risco
"tive uma reação alérgica e minha língua está inchando",alto risco
"tenho uma leve vermelhidão no olho que não dói",baixo risco
"estou com dor abdominal intensa e fezes com muito sangue",alto risco
"sinto um leve desconforto na barriga por gases",baixo risco
"minha saturação de oxigênio está em 85 por cento",alto risco
"tenho uma leve dor no quadril ao caminhar muito",baixo risco
"estou com confusão mental e não reconheço meus familiares",alto risco
"sinto uma leve ardência ao urinar pela manhã",baixo risco
"tive um trauma no tórax e estou com dificuldade para respirar",alto risco
"tenho uma leve dor no ombro que melhora com alongamento",baixo risco
"estou com sangramento intenso após um corte profundo na mão",alto risco
"sinto uma leve coceira na nuca por causa do cabelo",baixo risco
"minha pressão está 22 por 14 e estou com dor de cabeça forte",alto risco
"tenho uma leve dor no tornozelo que aparece ao correr",baixo risco
"estou com febre de 40 graus e dor forte na barriga",alto risco
"sinto um leve incômodo no ouvido por cera acumulada",baixo risco
"não consigo engolir e estou babando sem controle",alto risco
"tenho uma leve dor no pescoço por dormir em posição errada",baixo risco
"estou com dor no peito que irradia para a mandíbula",alto risco
"sinto uma leve coceira nos braços por pele seca",baixo risco
"tive uma queda de pressão brusca e estou quase desmaiando",alto risco
"tenho uma pequena ferida no lábio que está cicatrizando",baixo risco
"estou com falta de ar severa e lábios roxos",alto risco
"sinto uma leve dor no joelho ao descer escadas",baixo risco
"meu abdômen está distendido e não consigo eliminar gases",alto risco
"tenho uma leve sensação de ouvido tampado",baixo risco
"estou com dor torácica em pontada e tosse com sangue",alto risco
"sinto uma leve dor na panturrilha após ficar muito em pé",baixo risco
"tive uma crise convulsiva e estou com mordida na língua",alto risco
"tenho uma leve irritação na pele por uso de creme novo",baixo risco
"estou com inchaço generalizado e urinando muito pouco",alto risco
"sinto uma leve dor no antebraço após carregar sacolas",baixo risco
"minha temperatura está em 39.5 e tenho calafrios intensos",alto risco
"tenho uma leve dor de cabeça que melhora com água",baixo risco
"estou com dor intensa nas costas que irradia para a perna",alto risco
"sinto um leve formigamento na ponta dos dedos",baixo risco
"não consigo respirar direito e sinto o peito apertado",alto risco
"tenho uma leve dor no dedo após prender na gaveta",baixo risco
"estou com vômitos incoercíveis e desidratação severa",alto risco
"sinto uma leve queimação na garganta por refluxo",baixo risco
"meu coração está batendo de forma irregular e estou fraco",alto risco
"tenho uma leve dor no trapézio por carregar bolsa pesada",baixo risco
"estou com sangue na urina e dor lombar intensa",alto risco
"sinto uma leve coceira no nariz por alergia a poeira",baixo risco
"estou com dor de cabeça intensa e rigidez no pescoço com febre",alto risco
"tenho uma leve dor no pé ao usar sapato novo",baixo risco
"sinto fraqueza extrema e não consigo me levantar da cama",alto risco
"meu olho está um pouco irritado por causa do vento",baixo risco
"estou com dor no peito há horas e está irradiando para as costas",alto risco
"sinto uma leve dor no cotovelo ao apoiar no braço da cadeira",baixo risco
"tive perda súbita de equilíbrio e estou caindo para um lado",alto risco
"tenho uma leve sensação de estômago embrulhado",baixo risco
"estou com inchaço na garganta e mal consigo respirar",alto risco
"sinto uma leve dor no dedo indicador ao escrever",baixo risco
"minha pele está amarelada e tenho dor abdominal forte",alto risco
"tenho uma leve vermelhidão na pele por fricção da roupa",baixo risco
"estou com dor aguda no testículo que começou de repente",alto risco
"sinto uma leve dor no ombro ao dormir sobre ele",baixo risco
"tive um episódio de perda de memória e não sei o que aconteceu",alto risco
"tenho uma leve dor na sola do pé ao pisar",baixo risco
"estou com febre persistente há cinco dias e fraqueza extrema",alto risco
"sinto uma leve coceira na barriga por causa da roupa",baixo risco
"minha visão está dupla e tenho dor de cabeça forte",alto risco
"tenho uma leve dor no pescoço ao olhar para cima",baixo risco
"estou com sangramento retal intenso e tontura",alto risco
"sinto uma leve dor no quadril ao sentar por muito tempo",baixo risco
"não consigo mover o braço direito e sinto formigamento no rosto",alto risco
"tenho uma leve irritação nos olhos por lente de contato",baixo risco
"estou com dor abdominal que piora ao tossir e febre alta",alto risco
"sinto uma leve dor no joelho ao pedalar",baixo risco
"meu coração parou por alguns segundos e voltou a bater",alto risco
"tenho uma leve dor de barriga por comer algo diferente",baixo risco
"estou com edema nas pernas e falta de ar ao deitar",alto risco
"sinto uma leve dor no punho ao girar a maçaneta",baixo risco
"tive uma queda e não consigo mexer o pescoço",alto risco
"tenho uma leve dor no ombro que melhora com compressa quente",baixo risco
"estou com dor no peito e braço esquerdo dormente há 30 minutos",alto risco
"sinto uma leve coceira atrás da orelha",baixo risco
"minha respiração está muito difícil e estou fazendo barulho ao respirar",alto risco
"tenho uma leve dor na lombar ao me levantar da cadeira",baixo risco
"estou com febre de 40.5 e manchas roxas na pele",alto risco
"sinto uma leve dor no calcanhar por fascite plantar",baixo risco
"tive uma reação alérgica grave e meu rosto está muito inchado",alto risco
"tenho uma leve dor no dedo mínimo após batida",baixo risco
"estou com dor intensa no peito e sensação de morte iminente",alto risco
"sinto uma leve queimação no estômago após comer pimenta",baixo risco
"minha pressão caiu para 7 por 4 e estou muito tonto",alto risco
"tenho uma leve dor no pescoço por usar celular muito tempo",baixo risco
"estou com convulsões repetidas sem recuperar a consciência entre elas",alto risco
"sinto uma leve dor no ombro ao carregar sacola pesada",baixo risco
"tive um trauma abdominal forte e estou com muita dor",alto risco
"tenho uma leve irritação na garganta por falar muito",baixo risco
"estou com dor no flanco esquerdo irradiando para a virilha",alto risco
"sinto uma leve dor no tornozelo ao usar salto alto",baixo risco
"estou com dificuldade para engolir e sinto algo preso na garganta",alto risco
"tenho uma leve dor no joelho ao agachar para pegar algo",baixo risco
"minha perna está roxa e muito inchada de repente",alto risco
"sinto uma leve coceira no peito por alergia a tecido",baixo risco
"estou com dor de cabeça explosiva e vômitos em jato",alto risco
"tenho uma leve dor nas costas por carregar mochila",baixo risco
"não consigo urinar há mais de 12 horas e estou com dor",alto risco
"sinto uma leve sensação de peso no estômago após jantar",baixo risco
"estou com sangramento intenso pelo ouvido após trauma na cabeça",alto risco
"tenho uma leve dor no dedo anelar por anel apertado",baixo risco
"minha frequência cardíaca está abaixo de 40 e estou tonto",alto risco
"sinto uma leve dor no pé ao usar chinelo",baixo risco
"estou com dor torácica intensa e não consigo ficar deitado",alto risco
"tenho uma leve irritação na pele por sabão em pó",baixo risco
"tive uma queda de grande altura e sinto dor em todo o corpo",alto risco
"sinto uma leve dor no cotovelo ao estender o braço",baixo risco
"estou com febre alta e dor forte ao urinar com sangue",alto risco
"tenho uma leve dor no ombro ao fazer movimentos repetitivos",baixo risco
"minha barriga está muito inchada e dura como pedra",alto risco
"sinto uma leve coceira na perna por picada de pernilongo",baixo risco
"estou com dor no peito que piora ao deitar e melhora sentado",alto risco
"tenho uma leve dor no quadril ao subir escadas",baixo risco
"tive perda de consciência e estou com pupilas dilatadas",alto risco
"sinto uma leve dor no pescoço ao acordar",baixo risco
"estou com sangramento vaginal intenso fora do período menstrual",alto risco
"tenho uma leve dor na panturrilha por câimbra noturna",baixo risco
"minha pele está muito quente e vermelha com bolhas grandes",alto risco
"sinto uma leve dor no braço após vacina",baixo risco
"estou com dor abdominal intensa no lado direito baixo com febre",alto risco
"tenho uma leve dor no joelho ao caminhar em terreno irregular",baixo risco
"não consigo falar e meu rosto está caído de um lado",alto risco
"sinto uma leve dor no dedo ao apertar botões",baixo risco
"estou com tosse intensa com catarro esverdeado e febre alta",alto risco
"tenho uma leve dor no ombro ao pentear o cabelo",baixo risco
"meu coração está acelerado demais e sinto pressão no peito",alto risco
"sinto uma leve dor no tornozelo ao pisar em terreno irregular",baixo risco
"estou com dor de cabeça fortíssima atrás dos olhos e febre",alto risco
"tenho uma leve coceira no braço por alergia a bijuteria",baixo risco
"tive um episódio de falta de ar súbita e dor no peito ao respirar",alto risco
"sinto uma leve dor no quadril ao virar na cama",baixo risco
"estou com inchaço no pescoço que está crescendo rápido",alto risco
"tenho uma leve dor no pé ao usar sapato fechado",baixo risco
"minha visão ficou escura de repente e voltou após alguns segundos",alto risco
"sinto uma leve dor no cotovelo ao carregar objetos",baixo risco
"estou com dor intensa na panturrilha e a perna está vermelha e quente",alto risco
"tenho uma leve dor no pescoço por estresse",baixo risco
"tive uma picada de cobra e o local está muito inchado",alto risco
"sinto uma leve dor no joelho ao se levantar da cadeira",baixo risco
"estou com dor no peito que não passa com analgésico comum",alto risco
"tenho uma leve dor no ombro ao dormir de bruços",baixo risco
"estou com dor forte no olho e perda progressiva da visão",alto risco
"sinto uma leve dor no dedo ao digitar no teclado",baixo risco
"minha urina está muito escura como coca-cola e tenho dor muscular",alto risco
"tenho uma leve dor no calcanhar ao correr",baixo risco
"estou com febre alta e erupções na pele que não desaparecem ao pressionar",alto risco
"sinto uma leve dor no pescoço ao olhar para baixo",baixo risco
"tive um afogamento e estou tossindo muito com dificuldade para respirar",alto risco
"tenho uma leve dor no ombro ao fazer exercício de supino",baixo risco
"estou com dor abdominal intensa e vômitos biliosos",alto risco
"sinto uma leve coceira na axila por desodorante",baixo risco
"minha pressão está muito baixa e estou com visão escurecendo",alto risco
"tenho uma leve dor no joelho ao usar escada rolante",baixo risco
"estou com sangramento pelo nariz e pela boca após acidente",alto risco
"sinto uma leve dor no punho ao torcer roupa",baixo risco
"tive uma inalação de fumaça e estou com muita tosse e falta de ar",alto risco
"tenho uma leve dor no tornozelo ao usar tênis apertado",baixo risco
"estou com dor no peito e sensação de que o coração vai parar",alto risco
"sinto uma leve dor no quadril ao cruzar as pernas",baixo risco
"minha garganta está tão inchada que mal consigo engolir saliva",alto risco
"tenho uma leve dor no cotovelo ao jogar vôlei",baixo risco
"estou com febre de 39 graus e dor forte nas articulações",alto risco
"sinto uma leve dor no dedo ao abrir tampas de garrafa",baixo risco
"tive uma queda e meu braço está em posição anormal",alto risco
"tenho uma leve dor no ombro ao nadar",baixo risco
"estou com dor de cabeça intensa e sangramento nasal que não para",alto risco
"sinto uma leve dor no pescoço ao dirigir por muito tempo",baixo risco
"minha perna está completamente dormente e não consigo andar",alto risco
"tenho uma leve dor no joelho ao pedalar bicicleta",baixo risco
"estou com dor no peito que piora ao engolir e febre",alto risco
"sinto uma leve coceira no tornozelo por picada de formiga",baixo risco
"tive uma exposição a produto químico e estou com queimação nos olhos e pele",alto risco
"tenho uma leve dor no calcanhar ao ficar muito tempo em pé",baixo risco
"estou com confusão mental e temperatura corporal acima de 41 graus",alto risco
"sinto uma leve dor no ombro ao fazer flexão",baixo risco
"meu abdômen está rígido e tenho febre com calafrios intensos",alto risco
"tenho uma leve dor no punho ao usar o mouse",baixo risco
"estou com dor intensa no ouvido com secreção purulenta e febre alta",alto risco
"sinto uma leve dor no joelho ao se ajoelhar",baixo risco
"tive um choque elétrico e estou com dor no peito e tontura",alto risco
"tenho uma leve dor no dedo ao costurar",baixo risco
"estou com inchaço súbito em todo o corpo e dificuldade para respirar",alto risco
"sinto uma leve dor no tornozelo ao dançar",baixo risco
"minha visão está turva e tenho dor de cabeça com náusea",alto risco
"tenho uma leve dor no ombro ao jogar peteca",baixo risco
"estou com dor abdominal que começou ao redor do umbigo e migrou para baixo à direita",alto risco
"sinto uma leve dor no pescoço ao ler deitado",baixo risco
"tive uma mordida de animal e o local está muito inflamado com febre",alto risco
"tenho uma leve dor no cotovelo ao fazer rosca bíceps",baixo risco
"estou com dor no peito e tosse seca persistente há semanas com perda de peso",alto risco
"sinto uma leve dor no joelho ao usar salto",baixo risco
"estou com dor forte na região lombar e não consigo me mover",alto risco
"tenho uma leve dor no pé ao usar sandália",baixo risco
"minha respiração está muito ruidosa e estou usando músculos do pescoço para respirar",alto risco
"sinto uma leve dor no ombro ao carregar criança no colo",baixo risco
"estou com sangue vivo nas fezes em grande quantidade",alto risco
"tenho uma leve dor no joelho ao fazer yoga",baixo risco
"tive uma exposição prolongada ao frio e meus dedos estão brancos e sem sensibilidade",alto risco
"sinto uma leve dor no pescoço ao fazer exercício abdominal",baixo risco
"estou com dor no peito que irradia para as costas entre as escápulas",alto risco
"tenho uma leve coceira no braço por alergia a gato",baixo risco
"minha frequência cardíaca está muito irregular e sinto falta de ar",alto risco
"sinto uma leve dor no tornozelo ao caminhar na areia",baixo risco
"estou com febre alta e dor intensa na região do fígado",alto risco
"tenho uma leve dor no quadril ao fazer alongamento",baixo risco
"tive uma queda e estou com dor forte no quadril e não consigo andar",alto risco
"sinto uma leve dor no ombro ao fazer prancha",baixo risco
"estou com dor de cabeça súbita durante esforço físico intenso",alto risco
"tenho uma leve dor no joelho ao fazer agachamento com peso",baixo risco
"minha pele está com manchas escuras que estão crescendo rapidamente",alto risco
"sinto uma leve dor no cotovelo ao fazer triceps",baixo risco
"estou com dor abdominal intensa após cirurgia recente",alto risco
"tenho uma leve dor no calcanhar ao usar chinelo de dedo",baixo risco
"tive uma perda de sangue grande e estou com sede intensa e tontura",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de ombro",baixo risco
"estou com inchaço e vermelhidão intensa ao redor de uma ferida com febre",alto risco
"tenho uma leve dor no punho ao abrir potes",baixo risco
"minha pressão está 24 por 16 e estou com dor no peito",alto risco
"sinto uma leve dor no joelho ao fazer leg press",baixo risco
"estou com dor intensa no olho com vermelhidão e sensibilidade à luz",alto risco
"tenho uma leve dor no ombro ao fazer desenvolvimento",baixo risco
"tive uma ingestão acidental de produto de limpeza e estou com queimação na boca",alto risco
"sinto uma leve dor no tornozelo ao pular corda",baixo risco
"estou com febre alta e dor forte no peito ao respirar fundo",alto risco
"tenho uma leve dor no dedo ao tocar violão",baixo risco
"minha barriga está muito distendida e não consigo evacuar há dias com vômitos",alto risco
"sinto uma leve dor no pescoço ao fazer abdominais",baixo risco
"estou com dor no braço que piora à noite e não melhora com repouso",alto risco
"tenho uma leve dor no joelho ao fazer caminhada leve",baixo risco
"tive uma crise de asma muito forte e o bombinha não está fazendo efeito",alto risco
"sinto uma leve dor no ombro ao fazer elevação lateral",baixo risco
"estou com dor de cabeça intensa com febre e manchas na pele",alto risco
"tenho uma leve dor no cotovelo ao fazer supino",baixo risco
"meu coração está batendo muito devagar e estou com falta de ar",alto risco
"sinto uma leve dor no calcanhar ao usar sapato social",baixo risco
"estou com sangramento intenso pela gengiva que não para",alto risco
"tenho uma leve dor no quadril ao fazer exercício de glúteo",baixo risco
"tive uma exposição ao sol prolongada e estou com dor de cabeça forte e confusão",alto risco
